age_range,gender,duration_of_medication,review_date,condition,overall_rating,upvotes,drug_name
  65-74,Female,2 to less than 5 years,2/13/2023,Bipolar Disorder in Remission,5.0,1.0,Abilify oral
  35-44,Male,1 to 6 months,2/9/2023,Schizophrenia,2.0,,Abilify oral
  25-34,Male,1 to 6 months,1/5/2023,Schizophrenia,2.3,1.0,Abilify oral
  35-44,Female,1 to less than 2 years,12/28/2022,Additional Medications to Treat Depression,1.0,,Abilify oral
,Female,1 to 6 months,12/7/2022,Additional Medications to Treat Depression,2.0,,Abilify oral
  55-64,Female,2 to less than 5 years,11/14/2022,Additional Medications to Treat Depression,3.3,1.0,Abilify oral
  35-44,Female,1 to 6 months,11/9/2022,Additional Medications to Treat Depression,3.7,1.0,Abilify oral
  13-18,Transgender,6 months to less than 1 year,11/6/2022,Additional Medications to Treat Depression,3.3,1.0,Abilify oral
  55-64,Female,1 to 6 months,10/29/2022,Additional Medications to Treat Depression,5.0,1.0,Abilify oral
  25-34,Female,1 to less than 2 years,9/30/2022,Bipolar I Disorder with Most Recent Episode Mixed,4.0,1.0,Abilify oral
  25-34,Female,2 to less than 5 years,9/16/2022,Bipolar Disorder in Remission,1.0,1.0,Abilify oral
  65-74,Male,1 to 6 months,9/15/2022,Additional Medications to Treat Depression,4.7,1.0,Abilify oral
  55-64,Female,2 to less than 5 years,9/9/2022,Additional Medications to Treat Depression,4.7,1.0,Abilify oral
,,,9/1/2022,Bipolar Disorder in Remission,1.0,1.0,Abilify oral
,Male,,9/1/2022,Schizophrenia,1.0,,Abilify oral
  25-34,Female,2 to less than 5 years,8/18/2022,Additional Medications to Treat Depression,2.3,1.0,Abilify oral
,,,6/30/2022,Bipolar I Disorder with Most Recent Episode Mixed,5.0,1.0,Abilify oral
  55-64,Male,less than 1 month,6/18/2022,Additional Medications to Treat Depression,5.0,1.0,Abilify oral
  45-54,Female,less than 1 month,6/17/2022,adjunct therapy for obsessive compulsive disorder,1.7,1.0,Abilify oral
  35-44,Female,2 to less than 5 years,5/28/2022,Schizophrenia,5.0,1.0,Abilify oral
  65-74,Female,less than 1 month,5/27/2022,Additional Medications to Treat Depression,5.0,1.0,Abilify oral
  19-24,Female,less than 1 month,5/17/2022,Additional Medications to Treat Depression,5.0,1.0,Abilify oral
,Female,less than 1 month,5/17/2022,Additional Medications to Treat Depression,5.0,1.0,Abilify oral
  45-54,Female,less than 1 month,5/15/2022,Additional Medications to Treat Depression,4.0,1.0,Abilify oral
  19-24,Female,less than 1 month,4/22/2022,Additional Medications to Treat Depression,4.0,1.0,Abilify oral
  55-64,Female,6 months to less than 1 year,4/21/2022,Additional Medications to Treat Depression,1.7,1.0,Abilify oral
,,,4/13/2022,Additional Medications to Treat Depression,5.0,1.0,Abilify oral
  19-24,Female,2 to less than 5 years,3/19/2022,Additional Medications to Treat Depression,3.3,1.0,Abilify oral
  55-64,Male,6 months to less than 1 year,3/11/2022,Additional Medications to Treat Depression,3.7,1.0,Abilify oral
  55-64,Male,1 to 6 months,2/25/2022,Additional Medications to Treat Depression,4.3,1.0,Abilify oral
  45-54,Female,1 to 6 months,2/21/2022,Additional Medications to Treat Depression,5.0,1.0,Abilify oral
  19-24,Female,5 to less than 10 years,2/3/2022,Bipolar I Disorder with Most Recent Episode Mixed,4.3,1.0,Abilify oral
  55-64,Female,1 to 6 months,1/16/2022,Additional Medications to Treat Depression,2.0,1.0,Abilify oral
  19-24,Female,less than 1 month,1/6/2022,Additional Medications to Treat Depression,1.0,1.0,Abilify oral
  13-18,Other,1 to 6 months,1/5/2022,Additional Medications to Treat Depression,1.7,1.0,Abilify oral
,Female,1 to less than 2 years,1/1/2022,Additional Medications to Treat Depression,3.0,1.0,Abilify oral
  65-74,Female,2 to less than 5 years,12/4/2021,Bipolar Disorder in Remission,2.3,1.0,Abilify oral
  65-74,Female,1 to 6 months,11/26/2021,Additional Medications to Treat Depression,5.0,1.0,Abilify oral
  25-34,Male,2 to less than 5 years,11/22/2021,Schizophrenia,1.0,,Abilify oral
  19-24,Female,1 to 6 months,11/20/2021,Additional Medications to Treat Depression,1.7,1.0,Abilify oral
  19-24,Nonbinary,6 months to less than 1 year,11/13/2021,Additional Medications to Treat Depression,3.7,1.0,Abilify oral
  55-64,Female,1 to less than 2 years,11/11/2021,Additional Medications to Treat Depression,2.7,1.0,Abilify oral
  35-44,Female,5 to less than 10 years,11/5/2021,Additional Medications to Treat Depression,1.0,1.0,Abilify oral
  45-54,Male,5 to less than 10 years,10/28/2021,Schizophrenia,2.7,1.0,Abilify oral
,Female,1 to 6 months,10/27/2021,Bipolar Disorder in Remission,1.0,1.0,Abilify oral
  35-44,Female,1 to 6 months,10/11/2021,Additional Medications to Treat Depression,4.0,1.0,Abilify oral
  3-6,Male,1 to 6 months,10/6/2021,Schizophrenia,4.3,1.0,Abilify oral
,,,10/6/2021,Tourette's,4.0,1.0,Abilify oral
  13-18,Female,1 to 6 months,10/4/2021,Tourette's,3.7,1.0,Abilify oral
  25-34,Female,2 to less than 5 years,9/27/2021,Bipolar I Disorder with Most Recent Episode Mixed,4.3,1.0,Abilify oral
  35-44,Male,1 to less than 2 years,8/22/2021,Additional Medications to Treat Depression,5.0,2.0,Abilify oral
  19-24,Female,less than 1 month,7/30/2021,Additional Medications to Treat Depression,5.0,2.0,Abilify oral
